Hanji,TL
一,it
一,tsi̍t
一刀兩斷,it-to-lióng-tuān
一下,tsi̍t-ē
一月日,tsi̍t ge̍h-li̍t
一月日,tsi̍t gue̍h-ji̍t
一日到暗,tsi̍t-ji̍t-kàu-àm
一日到暗,tsi̍t-li̍t-kàu-àm
一世人,tsi̍t-sì-lâng
一半,tsi̍t-puànn
一半个仔,tsi̍t-puànn-ê-á
一半日仔,tsi̍t-puànn-ji̍t-á
一半日仔,tsi̍t-puànn-li̍t-á
一四界,tsi̍t-sì-kuè
一四界,tsi̍t-sì-kè
一旦,it-tàn
一生,it-sing
一目𥍉仔,tsi̍t-ba̍k-nih-á
一甲子,tsi̍t kah-tsí
一百空一,tsi̍t-pah khòng-it
一百空一,tsi̍t-pah-khòng-it
一百空一,tsi̍t-pah-khòng-tsi̍t
一來,it--lâi
一定,it-tīng
一直,it-ti̍t
一律,it-lu̍t
一致,it-tì
一面,tsi̍t-bīn
一垺屎,tsi̍t-phû-sái
一垺屎,tsi̍t-pû-sái
一屑仔,tsi̍t-sut-á
一家伙仔,tsi̍t-ke-hué-á
一家伙仔,tsi̍t-ke-hé-á
一般,it-puann
一粒一,it-lia̍p-it
一睏仔,tsi̍t-khùn-á
一概,it-khài
一路,tsi̍t-lōo
一寡,tsi̍t-kuá
一寡仔,tsi̍t-kuá-á
一對時,tsi̍t tuì-sî
一霎仔久,tsi̍t-tiap-á-kú
一點仔,tsi̍t-tiám-á
一礐屎,tsi̍t-ha̍k-sái
一觸久仔,tsi̍t-tak-kú-á
乙,it
丁,ting
七,tshit
九,kiú
九,káu
了,liáu
二,gī
二,jī
二,lī
人,jîn
人,lâng
人,lîn
入,ji̍p
入,li̍p
八,pat
八,peh
八,pueh
刀,to
刀,tor
刁,thiau
刁,tiau
力,la̍t
力,li̍k
力,lí
十,si̍p
十,tsa̍p
卜,poh
卜,pok
又,iū
十一哥,tsa̍p-it-ko
十一哥,tsa̍p-it-kor
了了,--liáu-liáu
了了,liáu-liáu
人人,lâng-lâng
十二分,tsa̍p-jī-hun
十二分,tsa̍p-lī-hun
十二生相,tsa̍p-jī senn-siùnn
十二生相,tsa̍p-lī sinn-siùnn
十二指腸,si̍p-jī-tsí-tn̂g
十二指腸,si̍p-lī-tsí-tn̂g
二九暝,jī-káu-mê
二九暝,lī-káu-mê
二九暝,lī-káu-mî
十八骰仔,si̍p-pat-tâu-á
十八骰仔,si̍p-pat-tāu-á
十八變,tsa̍p-peh-piàn
十八變,tsa̍p-pueh-piàn
七夕,tshit-sia̍h
了工,liáu-kang
人工,lâng-kang
人才,lâng-tsâi
入土,ji̍p-thóo
入土,li̍p-thóo
刁工,thiau-kang
刁工,tiau-kang
人中,jîn-tiong
人中,lîn-tiong
七孔,tshit-khóng
九孔,kiú-khóng
九孔,káu-kháng
二手,jī-tshiú
二手,lī-tshiú
入木,ji̍p-bo̍k
入木,li̍p-bo̍k
八仙,pat-sian
刀仔,to-á
八仙桌,pat-sian-toh
八仙綵,pat-sian-tshái
刁古董,tiau-kóo-tóng
了本,liáu-pún
人民,jîn-bîn
人民,lîn-bîn
人生,jîn-sing
人生,lîn-sing
刀石,to-tsio̍h
十全,si̍p-tsuân
十全,tsa̍p-tsn̂g
八字,peh-jī
八字,pueh-lī
七字仔,tshit-jī-á
七字仔,tshit-lī-á
十字架,si̍p-jī-kè
十字架,si̍p-lī-kè
八字跤,pat-jī-kha
八字跤,pat-lī-kha
十字路,si̍p-jī-lōo
十字路,si̍p-lī-lōo
七早八早,tshit-tsá-peh-tsá
七早八早,tshit-tsá-pueh-tsá
入耳,ji̍p-ní
入耳,li̍p-ní
刀肉,to-bah
七老八老,tshit-lāu-peh-lāu
七老八老,tshit-lāu-pueh-lāu
了尾仔囝,liáu-bué-á-kiánn
了尾仔囝,liáu-bé-á-kiánn
二步七仔,--jī-pōo-tshit-á
二步七仔,--lī-pōo-tshit-á
八角,peh-kak
八角,pueh-kak
十足,tsa̍p-tsiok
九芎仔,kiú-kiong-á
人事,jîn-sū
人事,lîn-sū
八卦,pat-kuà
卜卦,pok-kuà
二房,jī-pâng
二房,lī-pâng
人物,jîn-bu̍t
人物,lîn-bu̍t
十花五色,tsa̍p-hue-gōo-sik
入門,ji̍p-mn̂g
入門,li̍p-mn̂g
人客,lâng-kheh
了後,liáu-āu
七星,tshit-tshenn
七星,tshit-tshinn
二指,jī-tsáinn
二指,lī-tsáinn
刁持,tiau-tî
刁故意,tiau-kòo-ì
刀柄,to-pènn
刀柄,to-pìnn
八珍,pat-tin
人面,lâng-bīn
人倫,jîn-lûn
人倫,lîn-lûn
人員,jîn-uân
人員,lîn-uân
入厝,ji̍p-tshù
入厝,li̍p-tshù
七娘媽,tshit-niû-má
七娘媽生,tshit-niû-má-senn
七娘媽生,tshit-niû-má-sinn
人家,jîn-ke
人家,lîn-ke
人家厝仔,jîn-ke-tshù-á
人家厝仔,lîn-ke-tshù-á
八家將,pat-ka-tsiòng
人格,jîn-keh
人格,lîn-keh
人氣,jîn-khì
人氣,lîn-khì
刀砧,to-tiam
人馬,jîn-má
人馬,lîn-má
入院,ji̍p-īnn
入院,li̍p-īnn
人參,gîn-som
人參,jîn-sim
人參,jîn-song
人參,lîn-serm
人參,lîn-sim
人情,jîn-tsîng
人情,lîn-tsîng
人情世事,jîn-tsîng sè-sū
人情世事,jîn-tsîng-sè-sū
人情世事,lîn-tsîng-sè-sū
入教,ji̍p-kàu
入教,li̍p-kàu
人望,jîn-bōng
人望,lîn-bōng
人造,jîn-tsō
人造,lîn-tsō
刀喙,to-tshuì
入場,ji̍p-tiûnn
入場,li̍p-tiûnn
了然,liáu-jiân
了然,liáu-liân
力量,li̍k-liōng
刁意故,thiau-ì-kòo
七爺,tshit-iâ
刀銎,to-khing
又閣,iū-koh
人影,lâng-iánn
九層塔,káu-tsàn-thah
九層塔,káu-tsàn-tshah
人範,lâng-pān
人緣,lâng-iân
入學,ji̍p-o̍h
入學,li̍p-o̍h
入選,ji̍p-suán
入選,li̍p-suán
了錢,liáu-tsînn
人頭,lâng-thâu
力頭,la̍t-thâu
入殮,ji̍p-liām
入殮,li̍p-liām
入聲,ji̍p-siann
入聲,li̍p-siann
刁難,thiau-lân
人權,jîn-khuân
人權,jîn-kuân
人權,lîn-khuân
人權,lîn-kuân
丈,tiōng
丈,tiōnn
丈,tiūnn
丈,tiǔnn
丈,tn̄g
三,sam
三,sann
三,sàm
上,sióng
上,siāng
上,siōng
上,tshiōnn
上,tshiūnn
上,tshiǔnn
上,tsiōnn
上,tsiūnn
上,tsiǔnn
下,e
下,hā
下,hē
下,ē
低,kē
个,ê
丸,uân
久,kiú
久,kú
么,io
乞,khit
也,iā
亡,bông
凡,huân
凡,huān
千,tshian
千,tshing
叉,tshe
口,khió
口,kháu
口,káu
土,thóo
士,sū
大,ta
大,tuā
大,tāi
女,lí
女,lír
女,lú
子,jí
子,lí
子,tsí
子,tsír
子,tsú
寸,tshùn
小,siáu
小,sió
小,siór
山,san
山,suann
工,kang
工,khang
工,kong
己,kí
己,kī
巳,sū
巳,tsī
巾,kin
巾,kirn
巾,kun
干,kan
弓,king
弓,kiong
才,tshâi
才,tsiah
才,tsâi
下𦜆,ē-ham
丈人,tiūnn-lâng
三八,sam-pat
土人,thóo-lâng
大人,tuā-lâng
大人,tāi-jîn
大人,tāi-lîn
大力,tuā-la̍t
小人,siáu-jîn
小人,siáu-lîn
川七,tshuan-tshit
工人,kang-lâng
丈人公,tiūnn-lâng-kong
三七仔,sam-tshit-á
丈人爸,tiūnn-lâng-pâ
三八氣,sam-pat-khuì
丈人媽,tiūnn-lâng-má
上久,siōng-kú
上山,tsiūnn-suann
下山,hā-san
久久,kú-kú
大下,tuā-ē
小口,sió-kháu
小工,sió-kang
才子,tsâi-tsú
大丈夫,tāi-tiōng-hu
干干仔,kan-kan-á
三山國王,sam-san-kok-ông
千千萬萬,tshian-tshian-bān-bān
上山頭,tsiūnn-suann-thâu
丈公,tiōnn-kong
丈公,tiūnn-kong
丈公,tiǔnn-kong
上元,siōng-guân
下元,hā-guân
下勻,ē-ûn
大不了,tāi-put-liáu
三不五時,sam-put-gōo-sî
土公仔,thóo-kong-á
小丑仔,siáu-thiú-á
土公仔性,thóo-kong-á-sìng
上元暝,siōng-guân-mê
上元暝,siōng-guân-mî
上午,siōng-ngóo
上天,siōng-thian
上手,tsiūnn-tshiú
上水,tshiōnn-tsuí
上水,tshiū-tsuí
上水,tshiūnn-tsuí
上水,tshiǔnn-tsuí
下午,hā-ngóo
下手,hē-tshiú
下手,ē-tshiú
下水,hā-suí
土木,thóo-bo̍k
大方,tāi-hong
大日,tuā-ji̍t
大日,tuā-li̍t
大月,tuā-ge̍h
大月,tuā-gue̍h
寸尺,tshùn-tshioh
小心,sió-sim
小月,sió-ge̍h
小月,sió-gue̍h
小木,sió-ba̍k
工夫,kang-hu
三太子,sam-thài-tsú
上尺工,siāng-tshe-kong
三心兩意,sam-sim-lióng-ì
大心氣,tuā-sim-khuì
千斤秤,tshian-kin-tshìn
千斤秤,tshian-kun-tshìn
三文魚,sam-bûn-hî
三文魚,sam-bûn-hû
下水湯,hā-suí thng
下水湯,hā-suí-thng
大爿,tuā-pîng
丸仔,uân-á
大兄,tuā-hiann
工仔,kang-á
巾仔,kin-á
巾仔,kun-á
弓仔,king-á
大主大意,tuā-tsú-tuā-ì
大代誌,tuā tāi-tsì
上加,siōng-ke
上北,tsiūnn-pak
下司,ē-si
土包仔,thóo-pau-á
小可仔,sió-khuá-á
大四界,tuā-sì-kuè
大四界,tuā-sì-kè
上卌袂攝,tsiūnn-siap-buē-liap
上卌袂攝,tsiūnn-siap-bē-liap
下半暝,ē-puànn-mê
下半暝,ē-puànn-mî
上市,tsiūnn-tshī
下本,hē-pún
大本,tuā-pún
小旦,sió-tuànn
上目,tsiūnn-ba̍k
口白,kháu-pe̍h
大目,tuā-ba̍k
小生,sió-sing
小玉仔,sió-gio̍k-á
小白菜,sió-pe̍h-tshài
大甲蓆,tāi-kah-tshio̍h
上任,tsiūnn-jīm
上任,tsiūnn-līm
久仰,kiú-gióng
干休,kan-hiu
大名,tuā-miâ
大囝,tuā-kiánn
小名,sió-miâ
小囝,sió-kiánn
大同仔,tāi-tông-á
上好,siōng hó
上好,siōng-hó
也好,iā hó
土地,thóo-tuē
土地,thóo-tē
土地公,thóo-lī-kong
土地公,thóo-tī-kong
下早仔,e-tsái-á
大耳,tuā-hī
大耳,tuā-hīnn
大舌,tuā-tsi̍h
大舌,tuā-tsī
大舌,tuǎ-tsi̍h
大伯,tuā-peh
大位,tuā-uī
工作,kang-tsok
山伯英台,san-phik-ing-tâi
大妗,tuā-kīm
山尾溜,suann-bué-liu
山尾溜,suann-bé-liu
子弟,tsú-tē
小弟,sió-tī
子弟戲,tsú-tē-hì
三更,sann-kenn
三更,sann-kinn
三更半暝,sann-kenn-puànn-mê
三更半暝,sann-kinn-puànn-mî
口灶,kháu-tsàu
小肚,sió-tōo
大肚胿,tuā-tōo-kui
三角,sann-kak
久見,kiú-kiàn
山谷,suann-kok
川芎,tshuan-kiong
川貝,tshuan-puè
干貝,kan-puè
千里眼,tshian-lí-gán
三角窗,sann-kak-thang
三角褲,sann-kak-khòo
千里鏡,tshian-lí-kiànn
久來,kú--lâi
口供,kháu-king
大使,tāi-sài
小事,sió-sū
小使,siáu-sú
工事,kang-sū
女兒,lú-jî
女兒,lú-lî
小叔,sió-tsik
小管仔,sió-kńg-á
小兒科,sió-jî-kho
小兒科,sió-lî-kho
小兒麻痺,sió-jî-bâ-pì
小兒麻痺,sió-lî-bâ-pì
山坪,suann-phiânn
丈姆,tiūnn-ḿ
大姆,tuā-ḿ
大姊,tuā-tsí
大姑,tuā-koo
小妹,sió-bē
小妹,sió-muē
小姐,sia̋u-tsê
小姐,sió-tsiá
小姑,sió-koo
丈姆婆,tiūnn-ḿ-pô
下底,ē-tué
下底,ē-té
大官,ta-kuann
大官虎,tuā-kuann-hóo
土性,thóo-sìng
下性命,hē-sènn-miā
下性命,hē-sìnn-miā
大房,tuā-pâng
大拖,tuā-thua
下昏,e-hng
下昏,e-huinn
下昏,i̋ng
下昏,ē-hng
山東白仔,suann-tang-pe̍h-á
下昏暗,e-hng-àm
下昏暗,ing-àm
乞的,khit--ê
土直,thóo-ti̍t
三肢手,sann-ki-tshiú
久長,kú-tn̂g
千金,tshian-kim
三長兩短,sann-tn̂g-nn̄g-té
上青苔,tshiūnn-tshenn-thî
上青苔,tshiūnn-tshinn-thî
久長病,kú-tn̂g-pēnn
久長病,kú-tn̂g-pīnn
千金譜,tshian-kim-phóo
大便,tāi-piān
大前年,tuā-tsûn--nî
大姨,tuā-î
上帝,siōng-tè
上帝公,siōng-tè-kong
三思,sàm-su
大後日,tuā-āu--ji̍t
大後日,tuā-āu--li̍t
大後年,tuā-āu--nî
山後鳥,suann-āu-tsiáu
也是,iā sī
才是,tsiah-sī
大昨日,tuā-tso̍h--ji̍t
大昨日,tuā-tso̍h--li̍t
大某,tuā-bóo
山洞,suann-tōng
三牲,sam-sing
三界公,sam-kài-kong
三界娘仔,sam-kài-niû-á
山珍海味,san-tin-hái-bī
山苳蒿,suann-tang-o
低音,kē-im
乞食,khit-tsia̍h
乞食,khit-tsiā
口面,kháu-bīn
口音,kháu-im
乞食命,khit-tsia̍h-miā
大面神,tuā-bīn-sîn
乞食琴,khit-tsia̍h-khîm
乞食頭,khit-tsia̍h-thâu
土匪,thóo-huí
大厝,tuā-tshù
大哥,tuā-ko
低厝仔,kē-tshù-á
大娘姑,tuā-niô-koo
大娘姑,tuā-niû-koo
口座,kháu-tsō
土師,thóo-sai
大孫,tuā-sun
大家,ta-ke
子宮,tsú-kiong
山崁,suann-khàm
大家口,tuā-ke-kháu
大家官,ta-ke-kuann
子時,tsú-sî
上桌,tsiūnn toh
上桌,tsiūnn-toh
口氣,kháu-khì
大氣,tuā-khuì
大氣,tāi-khì
大氣喘,tuā-khuì-tshuán
大氣喘,tuǎ-khuì-tshuán
干涉,kan-sia̍p
低級,kē-kip
大陣,tuā tīn
小鬼仔殼,siáu-kuí-á-khak
三除四扣,sann-tû-sì-khàu
上崎,tsiūnn-kiā
山崙,suann-lūn
才情,tsâi-tsîng
三教,sam-kàu
下晝,e-tàu
下晝,ē-tàu
下晡,e-poo
下晡,enn-poo
下晡,ē-poo
小票,sió-phiò
三絃,sam-hiân
大細,tuā-suè
大細,tuā-sè
大細心,tuā-suè-sim
大細心,tuā-sè-sim
大細目,tuā-suè-ba̍k
大細目,tuā-sè-ba̍k
山頂,suann-tíng
工場,kang-tiûnn
大富,tuā-pù
大富,tāi-hô
大寒,tuā-kuânn
大寒,tāi-hân
大富大貴,tuā-hù-tuā-kuì
大摒掃,tuā-piànn-sàu
上殕,tshiūnn-phú
下港,ē-káng
大港,tuā-káng
大湧,tuā-íng
干焦,kan-na
下痟,hā-siau
口琴,kháu-khîm
工程,kang-tîng
工程師,kang-tîng-su
上等,jió-toh
上等,siōng-tíng
大筒,tuā-tâng
小等,sió-tán
土菝仔,thóo-pa̍t-á
土菝仔,thóo-pua̍t-á
上訴,siōng-sòo
大量,tuā-niū
大量,tāi-liōng
弓開,king--khui
凡勢,huān-sè
山勢,suann-sè
土想,thóo-siūnn
下暗,e-àm
下暗,enn-àm
下暗,ē-àm
工會,kang-huē
工業,kang-gia̍p
才會,tsiah ē
山溝,suann-kau
山盟海誓,san bîng hái sè
山盟海誓,san-bîng-hái-sè
下落,hē-lo̍h
千萬,tshian-bān
大腸,tuā-tn̂g
大舅,tuā-kū
小腸,sió-tn̂g
山腰,suann-io
